Sequence_ID,Motif_ID,Position,Direction,Score,P-value,Full/ Half-site
CDKN1A_Promoter_2.6kb_upstream,MA0106.1,365,+,0.868,0.00029997000299970003,1
CDKN1A_Promoter_2.6kb_upstream,MA0106.1,314,+,1.338,0.0035996400359964,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.1,365,+,1.252,0.0035996400359964,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.1,1257,+,1.028,0.0035996400359964,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.1,1954,+,0.788,0.0035996400359964,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,369,+,1.351,0.0011998800119988001,1
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,369,+,1.53,0.0143985601439856,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,1261,+,1.437,0.014898510148985102,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,876,+,1.289,0.015398460153984602,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,318,+,1.243,0.015398460153984602,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,379,+,1.23,0.015398460153984602,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,1626,+,0.972,0.0163983601639836,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,564,+,0.848,0.016698330166983303,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,1958,+,0.848,0.016698330166983303,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,2249,+,0.819,0.0168983101689831,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,984,+,0.806,0.0168983101689831,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.2,1217,+,0.806,0.0168983101689831,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.3,368,+,1.235,0.00039996000399960006,1
CDKN1A_Promoter_2.6kb_upstream,MA0106.3,368,+,1.505,0.009599040095990401,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.3,317,+,1.105,0.010798920107989201,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.3,1260,+,1.065,0.0108989101089891,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.3,378,+,0.93,0.011498850114988501,0
CDKN1A_Promoter_2.6kb_upstream,MA0106.3,875,+,0.828,0.0117988201179882,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,367,+,0.902,0.001999800019998,1
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,367,+,1.032,0.028097190280971903,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,1215,+,0.885,0.029797020297970205,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,982,+,0.817,0.0306969303069693,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,1259,+,0.765,0.031196880311968805,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,620,+,0.71,0.031796820317968204,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,1008,+,0.71,0.031796820317968204,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,377,+,0.683,0.031996800319968,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,1688,+,0.673,0.032096790320967905,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,1624,+,0.649,0.032296770322967704,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,316,+,0.645,0.032296770322967704,0
CDKN1A_Promoter_2.6kb_upstream,MA0525.1,681,+,0.631,0.032596740325967405,0
